"Time Interval","Week","Area","Forecast min [MW]","Actual min [MW]","Actual max [MW]","Forecast max [MW]"
"04/01/2021 - 03/01/2022","Week 2","Poland (PL)","14474.9","14722.1","24893.04","27500.0"
"04/01/2021 - 03/01/2022","Week 3","Poland (PL)","14888.3","15991.84","26169.39","27500.0"
"04/01/2021 - 03/01/2022","Week 4","Poland (PL)","14764.7","15176.21","27202.61","27500.0"
"04/01/2021 - 03/01/2022","Week 5","Poland (PL)","15213.4","15507.83","25500.53","27500.0"
"04/01/2021 - 03/01/2022","Week 6","Poland (PL)","14401.8","16341.95","26002.14","27200.0"
"04/01/2021 - 03/01/2022","Week 7","Poland (PL)","15027.0","16552.59","27374.68","27200.0"
"04/01/2021 - 03/01/2022","Week 8","Poland (PL)","14642.9","15470.13","26465.06","27200.0"
"04/01/2021 - 03/01/2022","Week 9","Poland (PL)","14372.6","14847.16","24285.39","27200.0"
"04/01/2021 - 03/01/2022","Week 10","Poland (PL)","14553.4","15003.7","24410.35","26600.0"
"04/01/2021 - 03/01/2022","Week 11","Poland (PL)","14493.0","14739.9","24781.51","26600.0"
"04/01/2021 - 03/01/2022","Week 12","Poland (PL)","14480.0","15406.14","24776.6","26600.0"
"04/01/2021 - 03/01/2022","Week 13","Poland (PL)","13634.5","14812.58","24393.33","26600.0"
"04/01/2021 - 03/01/2022","Week 14","Poland (PL)","13193.9","12989.36","23418.39","26600.0"
"04/01/2021 - 03/01/2022","Week 15","Poland (PL)","12702.0","12586.85","23816.63","24200.0"
"04/01/2021 - 03/01/2022","Week 16","Poland (PL)","10631.4","14155.59","24344.8","24200.0"
"04/01/2021 - 03/01/2022","Week 17","Poland (PL)","12240.3","13754.1","22592.43","24200.0"
"04/01/2021 - 03/01/2022","Week 18","Poland (PL)","11624.7","12683.14","22568.93","24800.0"
"04/01/2021 - 03/01/2022","Week 19","Poland (PL)","11135.1","12884.65","22690.43","24800.0"
"04/01/2021 - 03/01/2022","Week 20","Poland (PL)","11460.0","12716.68","22349.11","24800.0"
"04/01/2021 - 03/01/2022","Week 21","Poland (PL)","11641.5","12595.84","22315.93","24800.0"
"04/01/2021 - 03/01/2022","Week 22","Poland (PL)","11851.9","12723.8","22471.99","24800.0"
"04/01/2021 - 03/01/2022","Week 23","Poland (PL)","11698.9","12240.39","21599.64","25200.0"
"04/01/2021 - 03/01/2022","Week 24","Poland (PL)","11746.1","12380.35","22609.0","25200.0"
"04/01/2021 - 03/01/2022","Week 25","Poland (PL)","11629.7","13233.3","23170.15","25200.0"
"04/01/2021 - 03/01/2022","Week 26","Poland (PL)","12203.8","13043.06","23807.29","25200.0"
"04/01/2021 - 03/01/2022","Week 27","Poland (PL)","12043.8","13004.44","23555.03","25200.0"
"04/01/2021 - 03/01/2022","Week 28","Poland (PL)","12029.7","13079.71","23971.8","24700.0"
"04/01/2021 - 03/01/2022","Week 29","Poland (PL)","11799.4","13383.11","24316.08","24700.0"
"04/01/2021 - 03/01/2022","Week 30","Poland (PL)","11854.6","13104.9","22848.34","24700.0"
"04/01/2021 - 03/01/2022","Week 31","Poland (PL)","12102.2","12851.1","23561.21","25200.0"
"04/01/2021 - 03/01/2022","Week 32","Poland (PL)","11905.3","12803.51","22036.38","25200.0"
"04/01/2021 - 03/01/2022","Week 33","Poland (PL)","12613.5","12944.08","22094.05","25200.0"
"04/01/2021 - 03/01/2022","Week 34","Poland (PL)","12004.1","13303.73","22601.44","25200.0"
"04/01/2021 - 03/01/2022","Week 35","Poland (PL)","12781.0","13548.36","22742.96","25200.0"
"04/01/2021 - 03/01/2022","Week 36","Poland (PL)","12550.4","13720.25","23108.66","25200.0"
"04/01/2021 - 03/01/2022","Week 37","Poland (PL)","12644.2","13812.26","23020.33","24700.0"
"04/01/2021 - 03/01/2022","Week 38","Poland (PL)","12839.8","13813.29","23307.58","24700.0"
"04/01/2021 - 03/01/2022","Week 39","Poland (PL)","13121.2","14391.04","23623.4","24700.0"
"04/01/2021 - 03/01/2022","Week 40","Poland (PL)","13447.3","13744.75","23606.43","25300.0"
"04/01/2021 - 03/01/2022","Week 41","Poland (PL)","13477.8","14309.45","23746.41","25300.0"
"04/01/2021 - 03/01/2022","Week 42","Poland (PL)","13805.3","14752.74","24430.4","25300.0"
"04/01/2021 - 03/01/2022","Week 43","Poland (PL)","14135.6","14707.51","23985.55","25300.0"
"04/01/2021 - 03/01/2022","Week 44","Poland (PL)","13914.0","13938.16","24240.88","25300.0"
"04/01/2021 - 03/01/2022","Week 45","Poland (PL)","13774.4","13478.5","24705.89","26800.0"
"04/01/2021 - 03/01/2022","Week 46","Poland (PL)","14441.2","15072.46","24956.96","26800.0"
"04/01/2021 - 03/01/2022","Week 47","Poland (PL)","14302.0","14669.83","25548.11","26800.0"
"04/01/2021 - 03/01/2022","Week 48","Poland (PL)","14920.9","15669.95","26058.6","26800.0"
"04/01/2021 - 03/01/2022","Week 49","Poland (PL)","15082.2","15786.46","26275.78","27700.0"
"04/01/2021 - 03/01/2022","Week 50","Poland (PL)","14790.3","16540.7","27180.2","27700.0"
"04/01/2021 - 03/01/2022","Week 51","Poland (PL)","15282.6","15342.71","27008.09","27700.0"
"04/01/2021 - 03/01/2022","Week 52","Poland (PL)","12114.0","14039.6","26877.26","27700.0"
"04/01/2021 - 03/01/2022","Week 1","Poland (PL)","12638.9","13267.48","25242.39","27800.0"
